NSN,rep_office,common_name,Description,Price,UI,AAC
4510-01-441-2117,General Products,Soap Dispenser,"Compatibile for use with 8520-01-425-5328. Stainless steel pump with a four-position stroke adjustment to control the amount of soap being dispensed. The pump can be operated with hands, elbow, or forearms. Aluminum soap dispenser has reinforced nylon and",59.29,EA,H
4510-01-480-1323,Office Supplies & Paper Special Order,Piddle Pak,"Disposable ""unisex"" mil-spec vinyl relief bags are compact, lightweight and easily stored. Leak-proof with airtight sealing system that traps waste and odor, bag contains hydrophilic granulated powder. Individually poly bagged with moist towelette.",648.37,BX,H
4510-01-490-6456,General Products,Soap Dispenser,Clear plastic bracket holder for 12-ounce Gojo Purell hand sanitizer 8520-01-490-7365.,62.38,BX,H
4510-01-521-9866,General Products,Soap Dispenser,"Wall mounted hand sanitizer dispenser accepts 1000-mL Gojo Purell/SKILCRAFT hand sanitizer refills. One hand push operations and portion control. For use with NSNs 8520-01-522-0828, 8520-01-5622-0840 and 8520-01-522-3888.",25.1,EA,H
4510-01-521-9867,General Products,Soap Dispenser,"Wall-mounted lotion soap and shampoo dispenser accepts 800-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with NSNs 8520-01-378-3090, and 8520-01-522-0836.",237.64,BX,H
4510-01-521-9868,General Products,Soap Dispenser,"For multi-pack of 12 each, order NSN 4510-01-521-9867. Wall mounted lotion soap and shampoo dispenser accepts 800-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-378-3090 and 8520-01-522-0836.",26.37,EA,H
4510-01-521-9869,General Products,Soap Dispenser,Wall mounted lotion soap and shampoo dispenser accepts 1000-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-522-0833 and 8520-01-522-0838.,105.53,BX,H
4510-01-521-9870,General Products,Soap Dispenser,"Wall mounted hand sanitizer dispenser accepts 1000-mL Gojo Purell/SKILCRAFT hand sanitizer refills. One hand push operations and portion control. For use with NSNs 8520-01-522-0828, 8520-01-5622-0840 and 8520-01-522-3888.",113.59,BX,H
4510-01-521-9871,General Products,Soap Dispenser,"For multi-pack of eight each, order NSN 4510-01-521-9873. Wall mounted lotion soap and shampoo dispenser accepts 2000-mL Gojo lotion soap and shampoo refills.  One hand push operation and portion control. For use with 8520-01-522-0832 and 8520-01-522-0837",26.37,EA,H
4510-01-521-9872,General Products,Soap Dispenser,"For multi-pack of six each, order NSN 4510-01-521-9869. Wall mounted lotion soap and shampoo dispenser accepts 1000-mL Gojo lotion soap and shampoo refills. One hand push operation and portion control. For use with 8520-01-522-0833 and 8520-01-522-0838.",24.08,EA,H
4510-01-521-9873,General Products,Soap Dispenser,"For multi-pack of eight each, order NSN 4510-01-521-9873. Wall mounted lotion soap and shampoo dispenser accepts 2000-mL Gojo lotion soap and shampoo refills.  One hand push operation and portion control. For use with 8520-01-522-0832 and 8520-01-522-0837",157.27,BX,H
4510-01-551-1194,General Products,Foam Soap Dispenser,Wall mounted foam soap dispenser made of ABS plastic with a sight window to indicate when dispenser is empty. Reservoir can be removed for easy cleaning. Mounts on wall with adhesive backing or screws (not included). Unique foam pump prevents leaks and dr,24.5,EA,H
4510-01-551-2864,General Products,Foam Soap Dispenser,Wall dispenser accepts 1250-mL Gojo foam soap refill pouches. One hand push operation and portion control. For use with refill pouch NSNs 8520-01-556-2576 and 8520-01-556-2577.,108.79,BX,H
4510-01-551-2865,General Products,Foam Soap Dispenser,Wall dispenser accepts 1250-mL Gojo foam soap refill pouches. One hand push operation and portion control. For use with refill pouch NSNs 8520-01-556-2576 and 8520-01-556-2577.,24.85,EA,H
4510-01-551-2866,General Products,Hand Foam Dispenser,Wall mounted hand sanitizer dispenser accepts 1200-mL Gojo foaming hand sanitizer refills. One hand push operation and portion control. For use with NSN 8520-01-556-2834.,112.59,BX,H
4510-01-551-2867,General Products,Hand Foam Dispenser,Wall mounted hand sanitizer dispenser accepts 1200-mL Gojo foaming hand sanitizer refills. One hand push operation and portion control. For use with NSN 8520-01-556-2834.,24.16,EA,H
4520-00-033-4286,General Products,Electric Water Heater,"Capacity: 80 gallons; Size: Height: 59-1/2""; Diameter: 26-1/2"". Round tank has speed-heater power input. Lower and upper heating elements have 4,500 watts each. Electric water heater is intended for residential use. Features double heating elements and op",955.65,EA,H
4520-00-865-5939,General Products,Space Heater,"Fan operates on 120V AC, 1000w power. In the event that the unit is tipped over, an automatic switch immediately turns the unit off. Includes a three-prong plug, 15-amp rated plug and cord. (Product dimensions may vary by manufacturer.) NEMA configuration",56.38,EA,H
4720-01-447-8757,General Products,Garden Hose,"Commercial-grade, rubber/vinyl-reinforced 5/8"" diameter garden hose. Kink-resistant hose includes brass couplings, a protective collar at faucet end, and an abrasion-resistant gray cover. Burst strength is 500 psi with a minimum four-ply construction.",51.92,LG,H
4720-01-447-8759,General Products,Garden Hose,"Commercial-grade, rubber/vinyl-reinforced 5/8"" diameter garden hose. Kink-resistant hose includes brass couplings, a protective collar at faucet end, and an abrasion-resistant gray cover. Burst strength is 500 psi with a minimum four-ply construction.",28.78,LG,H
4730-01-385-7313,General Products,Spray Nozzle,"Acuity Specialty Products ZEP P/N 826601, or equal (Conquer Spray Head). Polyvinyl chloride plastic spray nozzle is designed for spraying a fine mist or solid stream of liquid in a round pattern. Fits ZEP or equal pint or quart bottles.",2.28,EA,H
4940-01-490-2455,General Products,Drip Pan,"Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",153.26,PG,H
4940-01-490-2463,General Products,Drip Pan,"Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",297.36,PG,H
4940-01-490-2470,General Products,Drip Pan,"Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",390.44,PG,H
4940-01-504-5270,General Products,Drip Pan With Chain,"Includes a 6 foot chain with eyelet for attaching pan to equipment. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",221.49,PG,H
4940-01-504-5273,General Products,Drip Pan With Chain,"Includes a 6 foot chain with eyelet for attaching pan to equipment. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",391.79,PG,H
4940-01-505-0680,General Products,Drip Pan With Chain,"Includes a 6 foot chain with eyelet for attaching pan to equipment. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",475.65,PG,H
4940-01-535-7651,General Products,Drip Pan with Chock Block,"Drip pan includes a six-foot chain attached to a wheel chock block. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",543.54,PG,H
4940-01-535-7652,General Products,Drip Pan with Chock Block,"Drip pan includes a six-foot chain attached to a wheel chock block. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",744.53,PG,H
4940-01-535-7653,General Products,Drip Pan with Chock Block,"Drip pan includes a six-foot chain attached to a wheel chock block. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum disulfide coated.",607.15,PG,H
4940-01-535-7654,General Products,"Drip Pan, Aircraft","Containment pan has interlocking sides. Pans are intended for drip containment.  Intended as an aircraft drip pan. Drip pans are made of double fiber woven reinforced rubber.  Drip pan is crack and crush-proof. Oil resistant polyethylene resin, Molybdenum",784.55,PG,H
5110-00-028-9089,Hardware,Soldering Iron & Knife,"Consists of hot knife & soldering iron with interchangeable soldering tips. Knife has a stainless steel blade & a chuck assembly compatible with soldering iron. Heats up to 720° F for cutting through plastic, yet handle does not get hot. Operates on 110V ",9.86,EA,H
5110-00-063-3037,Hardware,Wire Stripper (Manually Operated),"Used for removing at least 3/4"" L of insulation from general purpose solid and stranded wires. The tool provides a smooth, clean cut without nicking or marring wire. The high quality hardened steel blades are replaceable. The body is made of forged or pre",14.25,EA,H
5110-00-082-9172,Hardware,Tube Cutter (Replacement Wheel),"Replacement cutting wheel for Ridgid Tool models #360, 732 & 820/364 tube cutters. Replacement wheel for tubing cutter.",25.14,EA,H
5110-00-126-0804,Hardware,Wire Stripper (Manually Operated),"Used for removing at least 3/4"" L of insulation from general purpose solid and stranded wires. The tool provides a smooth, clean cut without nicking or marring wire. The high quality hardened steel blades are replaceable. The body is made of forged or pre",200.92,EA,H
5110-00-142-5010,Hardware,Keyhole Saw,"These keyhole saws are long, narrow saws used for cutting small, often awkward features in various building materials.",6.55,EA,H
5110-00-142-5015,Hardware,Rip Saw,"Cuts wood with the grain. The rip saw features a hardwood handle and a hardened and tempered blade. The blade is 26"" long with 8 points per inch, 6-1/2"" wide at butt and 1-3/4"" wide at point. Teeth are filed straight across for ripping.",6.62,EA,H
5110-00-156-0037,Hardware,File (Swiss Pattern),"Knife File. File is double cut on flat surfaces & safe (uncut) on edge. Tapers to a pointed end. Has wedge shaped cross section. Precision craftsmen, jewelers, tool and die makers and instrument part finishers use Swiss pattern files for finishing delicat",5.42,EA,H
5110-00-156-0054,Hardware,File (American Pattern - Regular),Type 2: Second Cut. Hand File (Regular). File is for filing flat surfaces and for filing close to shoulders. File width and thickness are uniform. One edge is safe (uncut). A-A-2313,5.51,EA,H
5110-00-156-0059,Hardware,File (American Pattern - Regular),Type 3: Smooth Cut. Hand File (Regular). File is for filing flat surfaces and for filing close to shoulders. File width and thickness are uniform. One edge is safe (uncut). A-A-2313,24.39,EA,H
5110-00-156-0062,Hardware,File (Swiss Pattern),"Equaling File. File is double cut on flat surfaces & single cut on square edges. Width & thickness are uniform. Precision craftsmen, jewelers, tool and die makers and instrument part finishers use Swiss pattern files for finishing delicate and intricate p",5.42,EA,H
5110-00-156-0063,Hardware,File (Swiss Pattern),"Flat File. File is double cut on both flat surfaces & single cut on both square edges. Width is tapered to a pointed end & the thickness is uniform. Precision craftsmen, jewelers, tool and die makers and instrument part finishers use Swiss pattern files f",4.96,EA,H
5110-00-156-0065,Hardware,File (Swiss Pattern),"Knife File. File is double cut on flat surfaces & safe (uncut) on edge. Tapers to a pointed end. Has wedge shaped cross section. Precision craftsmen, jewelers, tool and die makers and instrument part finishers use Swiss pattern files for finishing delicat",4.96,EA,H
5110-00-161-6909,Hardware,Straight Trimmer's Shears,"Heavy duty shears for cutting fine to heavy fabrics, cording, plastics, rubber, leather, vinyl and tape. Shears are intended for heavier applications such as upholstery, or on production lines where longer cuts and greater strength are needed. The shears ",10.32,EA,H
5110-00-161-6912,Hardware,Paper or Stationer's Shears,"These heavy duty paper or stationer's shears have long, narrow blades, straight handles and polished nickel chrome plated blades. Both blades are drop forged steel and pointed. 99.9 percent recycled with 87 percent of it being post consumer content.",17.13,EA,H
5110-00-162-2205,Hardware,Pocket Knife (General Purpose),"General purpose, folding type knife. The knife has four high grade steel blades with nail grooves for easy opening. Included in the knife are a 3-1/4"" cutting blade, can opener blade, leather punch blade, combination screwdriver and bottle cap lifter. The",20.13,EA,H
5110-00-162-2207,Hardware,Straight Trimmer's Shears,Use lightweight shears for light paper cutting and trimming applications. Balanced shears reduce fatigue. Have straight handles. Rust resistant stamped stainless steel. Molded plastic handles are for left and right hand use. Both blades are stamped stainl,26.34,EA,H
5110-00-162-5629,Hardware,Razor Blade,"The single-edged, carbon steel blade is untreated. Handy for a variety of general utility jobs, such as precision cutting and removing adhesives and labels from smooth surfaces.",9.63,BX,H
5110-00-177-7286,Hardware,Wire Stripper (Manually Operated),"Use on Polytetrafluoroethylene (PTFE) insulation (200°C, 600V). Equipped with blade size 2E. Has pivot handles. Short stop latch and wire stop assembly are provided unassembled with the main wire stripper body. Used for removing at least 3/4"" L of insulat",215.32,EA,H
5110-00-180-0926,Hardware,Leather Punch,"Type 1- Cutting (Drive), Class B - Circular, Style 1- Double Bow. Saddlers use this steel hand punch on leather or similar materials. GGG-P-833",31.26,EA,H
5110-00-180-0927,Hardware,Leather Punch,"Type 1- Cutting (Drive), Class B - Circular, Style 1- Double Bow. Saddlers use this steel hand punch on leather or similar materials. GGG-P-833",35.26,EA,H
5110-00-180-0943,Hardware,Leather Punch,"Type I: Cutting (Drive), Class B: Circular, Style 2: Single Bow. Saddlers use this steel hand punch on leather or similar materials. GGG-P-833",18.98,EA,H
